,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/maxfashionindia/status/1830585299434672606#m,ever got head cloud foot coziest knitwear need head max fashion try fit right away maxfashion womenswear,Max Fashion India,1,0,0,3
1,https://twitter.com/maxfashionindia/status/1829860397903650849#m,brb way grab super fly coords max fashion catch ya maxfashion teensfashion,Max Fashion India,2,0,0,2
2,https://twitter.com/maxfashionindia/status/1829142803756339538#m,roomy relaxed ready make statement meet new goto maxfashion womenswear,Max Fashion India,1,0,0,2
3,https://twitter.com/maxfashionindia/status/1828055728210280609#m,wearable art alert japanese art street twistbecause look original explore extra max fashion maxfashion teensfashion,Max Fashion India,5,0,0,1
4,https://twitter.com/maxfashionindia/status/1827693998317670739#m,nobody remember salary busy u many hour u worked people remember iconic look showed,Max Fashion India,4,1,3,2
5,https://twitter.com/maxfashionindia/status/1827684932224733411#m,unique oversized pleated serving look anything basic grab best pick max fashion weekend maxfashion teensfashion,Max Fashion India,5,0,1,1
6,https://twitter.com/maxfashionindia/status/1827325962234597455#m,every great party start perfect dress one fairy tale come life explore favorite max fashion maxfashion kidswear,Max Fashion India,3,0,0,2
7,https://twitter.com/maxfashionindia/status/1824428141785276898#m,studded printed perfectly oversized set take denim dream notch higher discover max fashion today maxfashion teensfashion,Max Fashion India,3,0,1,3
8,https://twitter.com/maxfashionindia/status/1823699873016820204#m,big print magnifying deets fit mood totally maxfashion kidswear,Max Fashion India,4,0,0,0
9,https://twitter.com/maxfashionindia/status/1823336061000446167#m,like tshirts oversized favorite character especially tom jerry pair loose fit denim fave new fit maxfashion kidswear,Max Fashion India,2,0,0,1
10,https://twitter.com/maxfashionindia/status/1822506159812612398#m,three amigo denim taking scenic route happiness toy car tiny adventure need perfect day discover denim musthaves max fashion weekend maxfashion kidswear,Max Fashion India,3,0,0,3
11,https://twitter.com/maxfashionindia/status/1822144550372040750#m,turn day anime episode epic fit lilac cargo pant paired graphic tee yes please grab max fashion weekend maxfashion kidswear,Max Fashion India,3,0,0,0
